"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 00:00 - 01/01/2023 01:00","BZN|DK1","2158.31","2135.00"
"01/01/2023 01:00 - 01/01/2023 02:00","BZN|DK1","2122.85","2084.00"
"01/01/2023 02:00 - 01/01/2023 03:00","BZN|DK1","2127.72","2059.00"
"01/01/2023 03:00 - 01/01/2023 04:00","BZN|DK1","2026.24","2001.00"
"01/01/2023 04:00 - 01/01/2023 05:00","BZN|DK1","1985.67","1969.00"
"01/01/2023 05:00 - 01/01/2023 06:00","BZN|DK1","1974.77","1973.00"
"01/01/2023 06:00 - 01/01/2023 07:00","BZN|DK1","1989.65","2008.00"
"01/01/2023 07:00 - 01/01/2023 08:00","BZN|DK1","1981.29","2016.00"
"01/01/2023 08:00 - 01/01/2023 09:00","BZN|DK1","2090.27","2066.00"
"01/01/2023 09:00 - 01/01/2023 10:00","BZN|DK1","2198.87","2180.00"
"01/01/2023 10:00 - 01/01/2023 11:00","BZN|DK1","2312.72","2296.00"
"01/01/2023 11:00 - 01/01/2023 12:00","BZN|DK1","2324.50","2374.00"
"01/01/2023 12:00 - 01/01/2023 13:00","BZN|DK1","2343.64","2350.00"
"01/01/2023 13:00 - 01/01/2023 14:00","BZN|DK1","2369.14","2333.00"
"01/01/2023 14:00 - 01/01/2023 15:00","BZN|DK1","2380.53","2375.00"
"01/01/2023 15:00 - 01/01/2023 16:00","BZN|DK1","2313.23","2350.00"
"01/01/2023 16:00 - 01/01/2023 17:00","BZN|DK1","2444.17","2479.00"
"01/01/2023 17:00 - 01/01/2023 18:00","BZN|DK1","2605.75","2614.00"
"01/01/2023 18:00 - 01/01/2023 19:00","BZN|DK1","2490.19","2536.00"
"01/01/2023 19:00 - 01/01/2023 20:00","BZN|DK1","2320.28","2346.00"
"01/01/2023 20:00 - 01/01/2023 21:00","BZN|DK1","2244.99","2245.00"
"01/01/2023 21:00 - 01/01/2023 22:00","BZN|DK1","2134.31","2170.00"
"01/01/2023 22:00 - 01/01/2023 23:00","BZN|DK1","2051.69","2121.00"
"01/01/2023 23:00 - 02/01/2023 00:00","BZN|DK1","1991.74","2117.00"
"02/01/2023 00:00 - 02/01/2023 01:00","BZN|DK1","1870.34","1948.00"
"02/01/2023 01:00 - 02/01/2023 02:00","BZN|DK1","1831.92","1861.00"
"02/01/2023 02:00 - 02/01/2023 03:00","BZN|DK1","1835.51","1860.00"
"02/01/2023 03:00 - 02/01/2023 04:00","BZN|DK1","1858.46","1910.00"
"02/01/2023 04:00 - 02/01/2023 05:00","BZN|DK1","1876.52","1910.00"
"02/01/2023 05:00 - 02/01/2023 06:00","BZN|DK1","2012.93","2041.00"
"02/01/2023 06:00 - 02/01/2023 07:00","BZN|DK1","2293.42","2357.00"
"02/01/2023 07:00 - 02/01/2023 08:00","BZN|DK1","2598.64","2649.00"
"02/01/2023 08:00 - 02/01/2023 09:00","BZN|DK1","2750.46","2807.00"
"02/01/2023 09:00 - 02/01/2023 10:00","BZN|DK1","2813.16","2751.00"
"02/01/2023 10:00 - 02/01/2023 11:00","BZN|DK1","2890.12","2842.00"
"02/01/2023 11:00 - 02/01/2023 12:00","BZN|DK1","2922.01","2927.00"
"02/01/2023 12:00 - 02/01/2023 13:00","BZN|DK1","2859.15","2845.00"
"02/01/2023 13:00 - 02/01/2023 14:00","BZN|DK1","2862.70","2837.00"
"02/01/2023 14:00 - 02/01/2023 15:00","BZN|DK1","2821.56","2839.00"
"02/01/2023 15:00 - 02/01/2023 16:00","BZN|DK1","2779.13","2860.00"
"02/01/2023 16:00 - 02/01/2023 17:00","BZN|DK1","2847.60","2841.00"
"02/01/2023 17:00 - 02/01/2023 18:00","BZN|DK1","3024.80","3068.00"
"02/01/2023 18:00 - 02/01/2023 19:00","BZN|DK1","2840.53","2903.00"
"02/01/2023 19:00 - 02/01/2023 20:00","BZN|DK1","2679.24","2713.00"
"02/01/2023 20:00 - 02/01/2023 21:00","BZN|DK1","2514.15","2463.00"
"02/01/2023 21:00 - 02/01/2023 22:00","BZN|DK1","2405.31","2337.00"
"02/01/2023 22:00 - 02/01/2023 23:00","BZN|DK1","2290.84","2275.00"
"02/01/2023 23:00 - 03/01/2023 00:00","BZN|DK1","2199.26","2124.00"
"03/01/2023 00:00 - 03/01/2023 01:00","BZN|DK1","2184.33","2100.00"
"03/01/2023 01:00 - 03/01/2023 02:00","BZN|DK1","2218.33","2132.00"
"03/01/2023 02:00 - 03/01/2023 03:00","BZN|DK1","2212.90","2205.00"
"03/01/2023 03:00 - 03/01/2023 04:00","BZN|DK1","2185.47","2232.00"
"03/01/2023 04:00 - 03/01/2023 05:00","BZN|DK1","2226.76","2259.00"
"03/01/2023 05:00 - 03/01/2023 06:00","BZN|DK1","2248.27","2362.00"
"03/01/2023 06:00 - 03/01/2023 07:00","BZN|DK1","2456.72","2493.00"
"03/01/2023 07:00 - 03/01/2023 08:00","BZN|DK1","2780.25","2829.00"
"03/01/2023 08:00 - 03/01/2023 09:00","BZN|DK1","2937.56","2970.00"
"03/01/2023 09:00 - 03/01/2023 10:00","BZN|DK1","2895.57","2953.00"
"03/01/2023 10:00 - 03/01/2023 11:00","BZN|DK1","2908.55","2961.00"
"03/01/2023 11:00 - 03/01/2023 12:00","BZN|DK1","2785.47","2872.00"
"03/01/2023 12:00 - 03/01/2023 13:00","BZN|DK1","2788.15","2786.00"
"03/01/2023 13:00 - 03/01/2023 14:00","BZN|DK1","2798.61","2820.00"
"03/01/2023 14:00 - 03/01/2023 15:00","BZN|DK1","2763.07","2813.00"
"03/01/2023 15:00 - 03/01/2023 16:00","BZN|DK1","2759.53","2755.00"
"03/01/2023 16:00 - 03/01/2023 17:00","BZN|DK1","2848.04","2881.00"
"03/01/2023 17:00 - 03/01/2023 18:00","BZN|DK1","3030.85","3053.00"
"03/01/2023 18:00 - 03/01/2023 19:00","BZN|DK1","2899.39","2901.00"
"03/01/2023 19:00 - 03/01/2023 20:00","BZN|DK1","2824.38","2730.00"
"03/01/2023 20:00 - 03/01/2023 21:00","BZN|DK1","2623.68","2666.00"
"03/01/2023 21:00 - 03/01/2023 22:00","BZN|DK1","2479.70","2501.00"
"03/01/2023 22:00 - 03/01/2023 23:00","BZN|DK1","2364.84","2333.00"
"03/01/2023 23:00 - 04/01/2023 00:00","BZN|DK1","2323.54","2161.00"
"04/01/2023 00:00 - 04/01/2023 01:00","BZN|DK1","2271.42","2156.00"
"04/01/2023 01:00 - 04/01/2023 02:00","BZN|DK1","2250.99","2148.00"
"04/01/2023 02:00 - 04/01/2023 03:00","BZN|DK1","2263.06","2207.00"
"04/01/2023 03:00 - 04/01/2023 04:00","BZN|DK1","2376.82","2236.00"
"04/01/2023 04:00 - 04/01/2023 05:00","BZN|DK1","2417.86","2364.00"
"04/01/2023 05:00 - 04/01/2023 06:00","BZN|DK1","2489.73","2530.00"
"04/01/2023 06:00 - 04/01/2023 07:00","BZN|DK1","2700.34","2714.00"
"04/01/2023 07:00 - 04/01/2023 08:00","BZN|DK1","3025.91","3026.00"
"04/01/2023 08:00 - 04/01/2023 09:00","BZN|DK1","3198.82","3210.00"
"04/01/2023 09:00 - 04/01/2023 10:00","BZN|DK1","3143.48","3215.00"
"04/01/2023 10:00 - 04/01/2023 11:00","BZN|DK1","3277.12","3252.00"
"04/01/2023 11:00 - 04/01/2023 12:00","BZN|DK1","3295.51","3258.00"
"04/01/2023 12:00 - 04/01/2023 13:00","BZN|DK1","3218.56","3201.00"
"04/01/2023 13:00 - 04/01/2023 14:00","BZN|DK1","3212.96","3206.00"
"04/01/2023 14:00 - 04/01/2023 15:00","BZN|DK1","3168.88","3187.00"
"04/01/2023 15:00 - 04/01/2023 16:00","BZN|DK1","3081.80","3102.00"
"04/01/2023 16:00 - 04/01/2023 17:00","BZN|DK1","3162.25","3205.00"
"04/01/2023 17:00 - 04/01/2023 18:00","BZN|DK1","3289.13","3377.00"
"04/01/2023 18:00 - 04/01/2023 19:00","BZN|DK1","3131.80","3155.00"
"04/01/2023 19:00 - 04/01/2023 20:00","BZN|DK1","2925.65","2963.00"
"04/01/2023 20:00 - 04/01/2023 21:00","BZN|DK1","2823.57","2849.00"
"04/01/2023 21:00 - 04/01/2023 22:00","BZN|DK1","2734.02","2755.00"
"04/01/2023 22:00 - 04/01/2023 23:00","BZN|DK1","2567.85","2629.00"
"04/01/2023 23:00 - 05/01/2023 00:00","BZN|DK1","2462.09","2466.00"
"05/01/2023 00:00 - 05/01/2023 01:00","BZN|DK1","2488.73","2351.00"
"05/01/2023 01:00 - 05/01/2023 02:00","BZN|DK1","2476.13","2409.00"
"05/01/2023 02:00 - 05/01/2023 03:00","BZN|DK1","2414.01","2401.00"
"05/01/2023 03:00 - 05/01/2023 04:00","BZN|DK1","2391.86","2351.00"
"05/01/2023 04:00 - 05/01/2023 05:00","BZN|DK1","2411.87","2378.00"
"05/01/2023 05:00 - 05/01/2023 06:00","BZN|DK1","2525.97","2486.00"
"05/01/2023 06:00 - 05/01/2023 07:00","BZN|DK1","2754.94","2797.00"
"05/01/2023 07:00 - 05/01/2023 08:00","BZN|DK1","2998.43","3041.00"
"05/01/2023 08:00 - 05/01/2023 09:00","BZN|DK1","3132.61","3141.00"
"05/01/2023 09:00 - 05/01/2023 10:00","BZN|DK1","3125.86","3140.00"
"05/01/2023 10:00 - 05/01/2023 11:00","BZN|DK1","3131.73","3147.00"
"05/01/2023 11:00 - 05/01/2023 12:00","BZN|DK1","3079.41","3096.00"
"05/01/2023 12:00 - 05/01/2023 13:00","BZN|DK1","3027.55","3028.00"
"05/01/2023 13:00 - 05/01/2023 14:00","BZN|DK1","2975.27","3009.00"
"05/01/2023 14:00 - 05/01/2023 15:00","BZN|DK1","2987.92","2975.00"
"05/01/2023 15:00 - 05/01/2023 16:00","BZN|DK1","2949.91","2975.00"
"05/01/2023 16:00 - 05/01/2023 17:00","BZN|DK1","3046.57","3042.00"
"05/01/2023 17:00 - 05/01/2023 18:00","BZN|DK1","3173.94","3263.00"
"05/01/2023 18:00 - 05/01/2023 19:00","BZN|DK1","3040.01","3076.00"
"05/01/2023 19:00 - 05/01/2023 20:00","BZN|DK1","2832.54","2856.00"
"05/01/2023 20:00 - 05/01/2023 21:00","BZN|DK1","2678.70","2724.00"
"05/01/2023 21:00 - 05/01/2023 22:00","BZN|DK1","2566.93","2587.00"
"05/01/2023 22:00 - 05/01/2023 23:00","BZN|DK1","2434.63","2426.00"
"05/01/2023 23:00 - 06/01/2023 00:00","BZN|DK1","2342.01","2311.00"
"06/01/2023 00:00 - 06/01/2023 01:00","BZN|DK1","2290.73","2229.00"
"06/01/2023 01:00 - 06/01/2023 02:00","BZN|DK1","2279.81","2219.00"
"06/01/2023 02:00 - 06/01/2023 03:00","BZN|DK1","2300.16","2233.00"
"06/01/2023 03:00 - 06/01/2023 04:00","BZN|DK1","2346.86","2288.00"
"06/01/2023 04:00 - 06/01/2023 05:00","BZN|DK1","2367.14","2358.00"
"06/01/2023 05:00 - 06/01/2023 06:00","BZN|DK1","2528.76","2536.00"
"06/01/2023 06:00 - 06/01/2023 07:00","BZN|DK1","2692.93","2762.00"
"06/01/2023 07:00 - 06/01/2023 08:00","BZN|DK1","3067.96","3092.00"
"06/01/2023 08:00 - 06/01/2023 09:00","BZN|DK1","3288.92","3254.00"
"06/01/2023 09:00 - 06/01/2023 10:00","BZN|DK1","3220.00","3239.00"
"06/01/2023 10:00 - 06/01/2023 11:00","BZN|DK1","3171.55","3211.00"
"06/01/2023 11:00 - 06/01/2023 12:00","BZN|DK1","3049.19","3108.00"
"06/01/2023 12:00 - 06/01/2023 13:00","BZN|DK1","2943.52","2933.00"
"06/01/2023 13:00 - 06/01/2023 14:00","BZN|DK1","2866.61","2902.00"
"06/01/2023 14:00 - 06/01/2023 15:00","BZN|DK1","2731.10","2752.00"
"06/01/2023 15:00 - 06/01/2023 16:00","BZN|DK1","2835.22","2769.00"
"06/01/2023 16:00 - 06/01/2023 17:00","BZN|DK1","2906.72","2910.00"
"06/01/2023 17:00 - 06/01/2023 18:00","BZN|DK1","3077.21","3150.00"
"06/01/2023 18:00 - 06/01/2023 19:00","BZN|DK1","2959.29","2940.00"
"06/01/2023 19:00 - 06/01/2023 20:00","BZN|DK1","2749.45","2733.00"
"06/01/2023 20:00 - 06/01/2023 21:00","BZN|DK1","2546.26","2530.00"
"06/01/2023 21:00 - 06/01/2023 22:00","BZN|DK1","2406.41","2385.00"
"06/01/2023 22:00 - 06/01/2023 23:00","BZN|DK1","2298.28","2358.00"
"06/01/2023 23:00 - 07/01/2023 00:00","BZN|DK1","2131.43","2270.00"
"07/01/2023 00:00 - 07/01/2023 01:00","BZN|DK1","2078.77","2033.00"
