"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","399.25","n/e"," ","438.66"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1","408.33","n/e"," ","436.11"
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|DK1","413.38","n/e"," ","457.18"
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|DK1","407.00","n/e"," ","463.20"
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|DK1","351.50","n/e"," ","371.30"
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|DK1","269.71","n/e"," ","264.73"
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|DK1","189.63","n/e"," ","175.61"
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|DK1","169.42","n/e"," ","233.03"
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|DK1","190.13","n/e"," ","169.20"
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|DK1","195.00","n/e"," ","190.34"
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|DK1","166.25","n/e"," ","113.66"
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|DK1","124.75","n/e"," ","73.09"
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|DK1","94.58","n/e"," ","75.18"
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|DK1","70.38","n/e"," ","72.20"
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|DK1","49.50","n/e"," ","77.78"
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|DK1","35.58","n/e"," ","47.89"
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|DK1","28.67","n/e"," ","41.98"
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|DK1","26.96","n/e"," ","72.17"
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|DK1","27.88","n/e"," ","88.37"
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|DK1","37.38","n/e"," ","106.84"
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|DK1","58.13","n/e"," ","115.13"
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|DK1","93.00","n/e"," ","150.83"
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|DK1","151.38","n/e"," ","404.33"
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|DK1","248.42","n/e"," ","522.60"
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|DK1","488.63","n/e"," ","599.94"
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|DK1","544.46","n/e"," ","629.36"
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|DK1","610.25","n/e"," ","695.14"
