"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","1557.79","1390.42","1390.42","1310.84"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","1447.21","1231.46","1231.46","1174.24"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|DK1","1351.79","1142.50","1142.50","1093.65"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|DK1","1314.13","1117.46","1117.46","1049.99"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|DK1","1196.17","1070.17","1070.17","936.01"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|DK1","1032.04","977.71","977.71","934.41"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|DK1","851.75","959.46","959.46","1024.69"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|DK1","773.25","1070.88","1070.88","1098.24"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|DK1","856.67","1219.67","1219.67","1111.11"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|DK1","883.46","1253.29","1188.75","1152.10"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|DK1","846.83","1224.79","1144.25","1163.20"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|DK1","855.88","1201.58","1221.79","1143.92"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|DK1","788.29","1150.83","1177.54","1121.73"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|DK1","752.67","1114.50","1179.67","1162.90"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|DK1","743.58","1099.79","1192.67","1206.53"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|DK1","770.13","1099.29","1215.54","1261.57"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|DK1","823.88","1127.50","1347.54","1351.59"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|DK1","833.08","1138.21","1402.33","1391.41"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|DK1","790.50","1076.33","1396.17","1435.20"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|DK1","819.46","1088.63","1519.04","1433.25"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|DK1","880.38","1092.79","1485.38","1415.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|DK1","932.96","1136.38","1448.25","1460.15"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|DK1","959.92","1141.50","1518.42","1490.56"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|DK1","975.63","1160.83","1537.54","1493.33"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|DK1","1352.71","1497.08","1497.08","1486.69"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|DK1","1295.04","1510.46","1510.46","1483.38"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|DK1","1270.25","1485.08","1485.08","1457.65"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|DK1","1316.33","1500.17","1500.17","1443.51"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|DK1","1311.08","1519.54","1519.54","1497.62"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|DK1","1258.92","1648.46","1648.46","1669.03"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|DK1","1163.96","1710.96","1710.96","1843.42"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|DK1","1205.00","2003.29","2003.29","2015.12"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|DK1","1561.79","2420.58","2420.58","2262.76"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|DK1","1882.50","2666.21","2607.67","2547.24"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|DK1","2068.79","2703.17","2763.08","2836.97"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|DK1","2360.83","2836.63","3033.04","2950.37"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|DK1","2422.92","2839.71","3065.04","3041.73"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|DK1","2438.29","2824.54","3159.63","3113.28"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|DK1","2489.96","2850.29","3190.04","3226.33"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|DK1","2498.79","2898.75","3309.71","3322.95"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|DK1","2582.04","2958.92","3486.33","3448.08"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|DK1","2576.67","2948.17","3520.92","3490.88"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|DK1","2362.42","2736.79","3423.04","3512.43"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|DK1","2348.83","2613.00","3645.13","3522.16"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|DK1","2433.00","2486.83","3551.79","3511.35"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|DK1","2505.17","2494.04","3465.33","3443.57"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|DK1","2500.79","2429.88","3510.33","3467.91"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|DK1","2475.29","2377.75","3470.25","3463.82"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|DK1","2801.54","3375.04","3375.04","3428.03"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|DK1","2680.38","3391.71","3395.33","3344.72"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|DK1","2632.63","3251.79","3251.79","3402.77"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|DK1","2596.79","3395.42","3395.42","3261.02"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|DK1","2513.13","2842.75","2842.75","3017.40"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|DK1","2294.63","2883.17","2883.17","2972.01"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|DK1","1985.25","3057.29","3057.29","3198.56"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|DK1","1871.63","3271.29","3271.29","3374.29"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|DK1","2105.88","3545.67","3546.00","3371.33"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|DK1","2206.46","3453.54","3340.75","3333.23"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|DK1","2128.08","3160.83","3218.38","3329.48"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|DK1","2298.75","3102.79","3280.25","3305.31"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|DK1","2151.04","2899.88","3237.75","3311.78"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|DK1","2075.38","2765.29","3289.33","3267.69"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|DK1","2084.33","2724.21","3231.75","3228.61"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|DK1","2055.54","2727.21","3212.42","3192.61"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|DK1","2107.33","2765.46","3284.00","3164.10"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|DK1","2063.88","2754.63","3176.71","3150.84"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|DK1","1841.79","2522.83","3084.50","3131.55"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|DK1","1826.33","2361.17","3312.58","3130.55"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|DK1","1893.21","2308.54","3212.21","3103.39"
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|DK1","1949.96","2383.42","3137.63","3068.89"
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|DK1","1949.08","2357.42","3173.92","3147.46"
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|DK1","1946.08","2365.92","3145.71","3115.57"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|DK1","2874.75","3115.33","3115.33","3130.28"
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|DK1","2852.63","3230.58","3230.58","3120.97"
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|DK1","2845.71","3180.29","3180.29","3075.50"
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|DK1","2913.46","3128.54","3128.54","2983.19"
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|DK1","2859.04","2997.29","2997.29","2890.74"
