"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|DK1","0.04","0.04","0.04","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|DK1","0.25","0.24","0.24","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|DK1","5.02","4.89","3.76","6.17"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|DK1","21.45","21.45","23.19","26.03"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|DK1","35.07","35.07","31.32","40.61"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|DK1","39.33","39.33","39.18","58.19"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|DK1","34.00","34.00","41.37","56.02"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|DK1","19.31","19.31","25.46","29.00"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|DK1","3.25","3.17","3.88","5.70"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|DK1","0.12","0.10","0.06","0.00"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|DK1","0.04","0.04","0.00","0.00"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|DK1","0.03","0.03","0.00","0.00"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|DK1","0.01","0.01","0.00","0.00"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|DK1","0.05","0.04","0.04","0.00"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|DK1","0.22","0.20","0.20","0.00"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|DK1","4.91","4.82","3.79","9.74"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|DK1","21.75","21.75","28.17","41.22"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|DK1","35.45","35.45","48.16","64.54"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|DK1","39.77","39.77","58.73","71.55"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|DK1","34.51","34.51","44.48","52.18"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|DK1","19.87","19.87","21.46","27.12"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|DK1","3.35","3.42","1.51","5.24"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|DK1","0.08","0.11","0.00","0.00"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|DK1","0.05","0.05","0.00","0.00"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|DK1","0.03","0.03","0.00","0.00"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|DK1","0.01","0.01","0.00","0.00"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|DK1","0.05","0.04","0.04","0.00"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|DK1","0.11","0.11","0.11","0.00"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|DK1","4.68","4.68","4.25","13.15"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|DK1","22.08","22.03","31.68","58.26"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|DK1","35.85","35.81","71.83","91.96"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|DK1","40.24","40.23","72.84","103.59"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|DK1","35.05","35.08","68.31","74.91"
