"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DE-LU","BZN|DK1","1085.06"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK1","BZN|DK2","463.66"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK1","BZN|NO2","1615.09"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DK1","BZN|SE3","177.30"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DE-LU","BZN|DK1","1044.09"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK1","BZN|DK2","575.29"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK1","BZN|NO2","1607.15"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DK1","BZN|SE3","217.20"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DE-LU","BZN|DK1","1505.52"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK1","BZN|DK2","523.93"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK1","BZN|NO2","1558.27"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DK1","BZN|SE3","205.70"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DE-LU","BZN|DK1","1316.20"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK1","BZN|DK2","310.77"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK1","BZN|NO2","1605.28"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DK1","BZN|SE3","206.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|DE-LU","BZN|DK1","1367.91"
