"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","195.71","195.62","195.96","194.97","","-0.15%"
"01/22/2026","196.00","195.39","196.63","195.39","","1.36%"
"01/21/2026","193.37","193.37","193.85","191.56","","-0.05%"
"01/20/2026","193.46","193.73","193.73","191.89","","-0.60%"
"01/19/2026","194.63","195.51","195.59","194.23","","-1.54%"
"01/16/2026","197.67","197.68","197.76","196.91","","0.01%"
"01/15/2026","197.65","196.81","197.84","196.81","","0.52%"
"01/14/2026","196.62","196.96","197.54","196.39","","-0.14%"
"01/13/2026","196.89","197.01","197.24","196.31","","0.08%"
"01/12/2026","196.73","196.22","196.83","195.42","","0.23%"
"01/09/2026","196.27","194.34","196.36","194.34","","1.11%"
"01/08/2026","194.11","194.31","194.71","193.69","","-0.27%"
"01/07/2026","194.63","194.50","194.78","194.26","","0.22%"
"01/06/2026","194.21","193.70","194.48","193.28","","0.35%"
"01/05/2026","193.54","191.63","193.59","191.63","","1.19%"
"01/02/2026","191.26","189.70","191.62","189.52","","0.86%"
"12/31/2025","189.62","189.67","189.67","189.30","","-0.07%"
"12/30/2025","189.76","188.49","190.06","188.37","","0.67%"
"12/29/2025","188.50","188.42","188.83","188.05","","0.10%"
"12/26/2025","188.32","188.32","188.35","188.30","","-0.01%"
"12/24/2025","188.33","188.35","188.48","188.28","","-0.01%"
"12/23/2025","188.35","188.07","188.53","187.78","","0.24%"
"12/22/2025","187.89","188.31","188.50","187.42","","-0.22%"
"12/19/2025","188.30","187.36","188.59","187.24","","0.45%"
"12/18/2025","187.46","185.77","187.57","185.54","","0.94%"
"12/17/2025","185.72","186.50","187.15","185.64","","-0.43%"
"12/16/2025","186.52","187.14","187.72","186.24","","-0.53%"
"12/15/2025","187.52","187.11","187.95","186.97","","0.47%"
"12/12/2025","186.65","188.07","188.65","186.62","","-0.45%"
"12/11/2025","187.49","186.33","187.91","185.66","","0.68%"
"12/10/2025","186.22","186.03","186.28","185.47","","0.01%"
"12/09/2025","186.21","186.37","187.10","185.89","","-0.01%"
"12/08/2025","186.22","186.20","186.48","185.77","","0.00%"
"12/05/2025","186.22","186.40","187.03","186.19","","0.12%"
"12/04/2025","185.99","185.72","186.22","185.24","","0.54%"
"12/03/2025","185.00","185.35","186.00","184.69","","0.01%"
"12/02/2025","184.98","184.67","185.67","184.61","","0.14%"
"12/01/2025","184.73","184.36","184.94","183.64","","-0.14%"
"11/28/2025","184.99","184.53","185.14","184.17","","0.28%"
"11/27/2025","184.47","184.25","184.72","183.95","","0.05%"
"11/26/2025","184.37","182.98","184.41","182.31","","1.28%"
"11/25/2025","182.04","180.60","182.17","179.99","","0.90%"
"11/24/2025","180.41","180.99","181.61","179.59","","0.23%"
"11/21/2025","179.99","178.93","180.52","178.48","","-0.70%"
"11/20/2025","181.26","182.32","182.93","181.21","","0.37%"
"11/19/2025","180.60","180.32","181.97","179.58","","0.19%"
"11/18/2025","180.26","182.40","182.40","179.66","","-1.93%"
"11/17/2025","183.80","185.22","185.51","183.52","","-0.80%"
"11/14/2025","185.29","186.28","186.28","183.44","","-0.98%"
"11/13/2025","187.12","188.60","189.32","187.09","","-0.62%"
"11/12/2025","188.28","186.91","188.67","186.91","","1.01%"
"11/11/2025","186.40","184.56","186.50","184.56","","1.16%"
"11/10/2025","184.27","182.99","184.66","182.99","","1.54%"
"11/07/2025","181.48","183.05","183.42","181.10","","-0.73%"
"11/06/2025","182.81","184.36","184.46","182.65","","-0.79%"
"11/05/2025","184.27","183.08","184.71","182.45","","0.10%"
"11/04/2025","184.09","184.59","184.59","181.81","","-0.43%"
"11/03/2025","184.88","184.69","185.79","184.50","","0.17%"
"10/31/2025","184.57","185.70","185.70","184.45","","-0.61%"
"10/30/2025","185.70","185.92","186.19","184.83","","-0.23%"
